v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2137.12062	0.01200170838439369	2137.12062	0.023615806974635306	2096.314	0.0	2096.314	0.0
2137.15075	0.012541427096017362	2137.15075	0.024704942654149686	2096.362	0.0	2096.362	0.0
2137.18089	0.01314614571428279	2137.18089	0.025919078046800298	2096.41	0.0	2096.41	0.0
2137.21102	0.013850864425906453	2137.21102	0.02732321372631466	2096.458	0.0	2096.458	0.0
2137.24115	0.014705583137530127	2137.24115	0.02896734940582904	2096.506	0.0	2096.506	0.0
2137.27129	0.015755301755795557	2137.27129	0.030931484798479653	2096.554	0.0	2096.554	0.0
2137.30142	0.01704002046741923	2137.30142	0.03326562047799403	2096.602	0.0	2096.602	0.0
2137.33156	0.018584739085684657	2137.33156	0.03599975587064465	2096.65	0.0	2096.65	0.0
2137.36169	0.020404457797308324	2137.36169	0.03915389155015901	2096.698	0.0	2096.698	0.0
2137.39182	0.02249417650893199	2137.39182	0.0427330272296734	2096.746	0.0	2096.746	0.0
2137.42196	0.024863895127197423	2137.42196	0.046732162622324006	2096.794	0.0	2096.794	0.0
2137.45209	0.027523613838821084	2137.45209	0.051181298301838374	2096.842	0.0	2096.842	0.0
2137.48222	0.03050833255044476	2137.48222	0.056130433981352756	2096.89	0.0	2096.89	0.0
2137.51236	0.03386805116871019	2137.51236	0.06165456937400336	2096.938	0.0	2096.938	0.0
2137.54249	0.03766776988033386	2137.54249	0.06785370505351776	2096.986	0.0	2096.986	0.0
2137.57263	0.04198248849859928	2137.57263	0.07482784044616834	2097.034	0.0	2097.034	0.0
2137.60276	0.04690220721022295	2137.60276	0.08269697612568273	2097.082	0.0	2097.082	0.0
2137.63289	0.05250692592184662	2137.63289	0.09155611180519713	2097.13	0.0	2097.13	0.0
2137.66303	0.058886644540112054	2137.66303	0.10151524719784773	2097.178	0.0	2097.178	0.0
2137.69316	0.06614136325173572	2137.69316	0.11266938287736211	2097.226	0.0	2097.226	0.0
2137.72329	0.07437608196335939	2137.72329	0.12512351855687648	2097.274	0.0	2097.274	0.0
2137.75343	0.08368580058162482	2137.75343	0.1389776539495271	2097.322	0.0	2097.322	0.0
2137.78356	0.09417051929324849	2137.78356	0.15432178962904147	2097.37	0.0	2097.37	0.0
2137.8137	0.10590023791151393	2137.8137	0.17123092502169207	2097.418	0.0	2097.418	0.0
2137.84383	0.1189249566231376	2137.84383	0.18973006070120646	2097.466	0.0	2097.466	0.0
2137.87396	0.13323467533476124	2137.87396	0.20978919638072085	2097.514	0.0	2097.514	0.0
2137.9041	0.14876939395302669	2137.9041	0.23129333177337147	2097.562	0.0	2097.562	0.0
2137.93423	0.16539411266465037	2137.93423	0.2540324674528858	2097.61	0.0	2097.61	0.0
2137.96437	0.18289383128291578	2137.96437	0.2776866028455364	2097.658	0.0	2097.658	0.0
2137.9945	0.20096354999453947	2137.9945	0.3018357385250508	2097.706	0.0	2097.706	0.0
2138.02463	0.2192332687061631	2138.02463	0.3259598742045652	2097.754	0.0	2097.754	0.0
