v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2137.27129	0.015755301755795557	2137.27129	0.030931484798479653	2130.13	0.07844470203852587	2130.13	0.08938790003327532
2137.30142	0.01704002046741923	2137.30142	0.03326562047799403	2130.15	0.0793683523619532	2130.15	0.09033620940528134
2137.33156	0.018584739085684657	2137.33156	0.03599975587064465	2130.17	0.08050174767613595	2130.17	0.09141333010223089
2137.36169	0.020404457797308324	2137.36169	0.03915389155015901	2130.19	0.08185841799154135	2130.19	0.09266110246064056
2137.39182	0.02249417650893199	2137.39182	0.0427330272296734	2130.21	0.08341216783817448	2130.21	0.09409110658770438
2137.42196	0.024863895127197423	2137.42196	0.046732162622324006	2130.23	0.08510165798288978	2130.23	0.09568274678275215
2137.45209	0.027523613838821084	2137.45209	0.051181298301838374	2130.25	0.08684319113577264	2130.25	0.09738767392930166
2137.48222	0.03050833255044476	2137.48222	0.056130433981352756	2130.27	0.0885471186956311	2130.27	0.09913781963026114
2137.51236	0.03386805116871019	2137.51236	0.06165456937400336	2130.29	0.09013320149172582	2130.29	0.10085469466747107
2137.54249	0.03766776988033386	2137.54249	0.06785370505351776	2130.31	0.09154199629055998	2130.31	0.10245933080916184
2137.57263	0.04198248849859928	2137.57263	0.07482784044616834	2130.33	0.09274158637029202	2130.33	0.10388374350887256
2137.60276	0.04690220721022295	2137.60276	0.08269697612568273	2130.35	0.09373040979242937	2130.35	0.10508459210621646
2137.63289	0.05250692592184662	2137.63289	0.09155611180519713	2130.37	0.09453702324331369	2130.37	0.10605754399755266
2137.66303	0.058886644540112054	2137.66303	0.10151524719784773	2130.39	0.09521682261663213	2130.39	0.10684799170080439
2137.69316	0.06614136325173572	2137.69316	0.11266938287736211	2130.41	0.09584504457525259	2130.41	0.10755235479801806
2137.72329	0.07437608196335939	2137.72329	0.12512351855687648	2130.43	0.09650566458056437	2130.43	0.10830582415323281
2137.75343	0.08368580058162482	2137.75343	0.1389776539495271	2130.45	0.0972772360516013	2130.45	0.10925698271077605
2137.78356	0.09417051929324849	2137.78356	0.15432178962904147	2130.47	0.09821861091748929	2130.47	0.11053531733867582
2137.8137	0.10590023791151393	2137.8137	0.17123092502169207	2130.49	0.099358723133171	2130.49	0.11222141612702224
2137.84383	0.1189249566231376	2137.84383	0.18973006070120646	2130.51	0.1006942459887383	2130.51	0.1143295368163967
2137.87396	0.13323467533476124	2137.87396	0.20978919638072085	2130.53	0.10219669683836016	2130.53	0.1168080417298999
2137.9041	0.14876939395302669	2137.9041	0.23129333177337147	2130.55	0.10382713550301041	2130.55	0.119556739282552
2137.93423	0.16539411266465037	2137.93423	0.2540324674528858	2130.57	0.10555339448573392	2130.57	0.12245432112754824
2137.96437	0.18289383128291578	2137.96437	0.2776866028455364	2130.59	0.10736333928031695	2130.59	0.12538631185274876
2137.9945	0.20096354999453947	2137.9945	0.3018357385250508	2130.61	0.10926888646376284	2130.61	0.12826515884808065
2138.02463	0.2192332687061631	2138.02463	0.3259598742045652	2130.63	0.11129906120621391	2130.63	0.13103827107948018
2138.05477	0.23725798732442854	2138.05477	0.3494890095972158	2130.65	0.11348467723850841	2130.65	0.13368466999846623
2138.0849	0.2545677060360522	2138.0849	0.37183314527673017	2130.67	0.11584023481273205	2130.67	0.13620415500088548
2138.11503	0.2706974247476759	2138.11503	0.39244228095624456	2130.69	0.11834902548436797	2130.69	0.1386034916185697
2138.14517	0.28522714336594135	2138.14517	0.41085141634889516	2130.71	0.12095538791074022	2130.71	0.14088282495671134
2138.1753	0.297836862077565	2138.1753	0.42671555202840955	2130.73	0.12356510202255915	2130.73	0.14302408909895944
2138.20544	0.3083265806958304	2138.20544	0.43980468742106016	2130.75	0.12605282468272302	2130.75	0.14498305202887726
2138.23557	0.3166062994074541	2138.23557	0.45000882310057455	2130.77	0.12827506208471584	2130.77	0.14668770547986112
2138.2657	0.3226860181190777	2138.2657	0.45731295878008893	2130.79	0.13008779228680215	2130.79	0.14804635907328056
2138.29584	0.32665073673734313	2138.29584	0.4617820941727395	2130.81	0.13136804079350542	2130.81	0.14896716768174953
2138.32597	0.32861045544896683	2138.32597	0.46355122985225394	2130.83	0.13203748042826155	2130.83	0.14938648213995212
2138.35611	0.3287001740672323	2138.35611	0.46282036524490455	2130.85	0.13208384237335474	2130.85	0.1492981483092411
2138.38624	0.32704489277885596	2138.38624	0.4598345009244189	2130.87	0.13157415178857668	2130.87	0.14877284196977
2138.41637	0.32378461149047966	2138.41637	0.45484863660393327	2130.89	0.1306541900957771	2130.89	0.14795822907231893
2138.44651	0.31905933010874504	2138.44651	0.4480927719965838	2130.91	0.12953166035416014	2130.91	0.1470572198143361
2138.47664	0.31301404882036876	2138.47664	0.4397669076760983	2130.93	0.12844525389192155	2130.93	0.14629007090564916
2138.50677	0.3058037675319924	2138.50677	0.4300260433556126	2130.95	0.12762620474126693	2130.95	0.14585248833334946
2138.53691	0.2975684861502578	2138.53691	0.41899517874826325	2130.97	0.12726121519763492	2130.97	0.14588312622721833
2138.56704	0.28844320486188146	2138.56704	0.4067943144277776	2130.99	0.12746517834741314	2130.99	0.1464496208006144
2138.59718	0.27855292348014693	2138.59718	0.3935584498204282	2131.01	0.12826942074462205	2131.01	0.1475549200243888
2138.62731	0.2680176421917706	2138.62731	0.3794675854999426	2131.03	0.12962735187106736	2131.03	0.14915872787992154
2138.65744	0.25697236090339426	2138.65744	0.364701721179457	2131.05	0.13143550070094398	2131.05	0.15120513358150475
2138.68758	0.24554707952165966	2138.68758	0.3494658565721076	2131.07	0.1335646778905734	2131.07	0.15364768748899332
2138.71771	0.23388679823328334	2138.71771	0.33393999225162196	2131.09	0.1358939145071331	2131.09	0.1564661382212256
2138.74784	0.222141516944907	2138.74784	0.3182941279311363	2131.11	0.13833927742440766	2131.11	0.15967270229706795
2138.77798	0.21045623556317244	2138.77798	0.30267826332378694	2131.13	0.1408708656340419	2131.13	0.1633083956177233
2138.80811	0.19895095427479612	2138.80811	0.2872223990033013	2131.15	0.14351410511239576	2131.15	0.16743103036640902
2138.83825	0.18773067289306153	2138.83825	0.27204153439595197	2131.17	0.14633527113851935	2131.17	0.1720965365114864
2138.86838	0.1768703916046852	2138.86838	0.2572406700754663	2131.19	0.1494150352460847	2131.19	0.17733543188201903
2138.89851	0.16642511031630888	2138.89851	0.24290480575498066	2131.21	0.15281677822293477	2131.21	0.18312737124468456
2138.92865	0.1564298289345743	2138.92865	0.2291089411476313	2131.23	0.1565576712214776	2131.23	0.1893786201805942
2138.95878	0.14690454764619798	2138.95878	0.21589807682714568	2131.25	0.16058972704918514	2131.25	0.19590885611490363
2138.98892	0.13788426626446343	2138.98892	0.20331721221979632	2131.27	0.16479528635584073	2131.27	0.20245335893136907
2139.01905	0.12938398497608708	2139.01905	0.19138134789931066	2131.29	0.16899745278812023	2131.29	0.20868358862307926
2139.04918	0.12143370368771074	2139.04918	0.180115483578825	2131.31	0.17298210109313353	2131.31	0.21424404524669666
2139.07932	0.11403342230597618	2139.07932	0.16952461897147564	2131.33	0.17652568597047164	2131.33	0.21879826804709335
2139.10945	0.10717814101759984	2139.10945	0.15960375465099	2131.35	0.17942306696675972	2131.35	0.2220742566426471
2139.13958	0.1008378597292235	2139.13958	0.15033289033050437	2131.37	0.18151164896267896	2131.37	0.22390069185179962
2139.16972	0.09496257834748895	2139.16972	0.14168202572315503	2131.39	0.1826908273374822	2131.39	0.22422924120030793
2139.19985	0.08949729705911261	2139.19985	0.13360116140266937	2131.41	0.1829371384924792	2131.41	0.22314250586436365
2139.22999	0.08439201567737804	2139.22999	0.12605029679531998	2131.43	0.18231464109657375	2131.43	0.22084936546939662
2139.26012	0.07961673438900171	2139.26012	0.11897443247483436	2131.45	0.18097761559497766	2131.45	0.21766886482832554
2139.29025	0.07515645310062538	2139.29025	0.11234356815434873	2131.47	0.17916085070951104	2131.47	0.2140018666379482
2139.32039	0.07100117171889081	2139.32039	0.10613270354699937	2131.49	0.1771538333676144	2131.49	0.2102891604057874
2139.35052	0.06716089043051447	2139.35052	0.10032183922651372	2131.51	0.17525975003232666	2131.51	0.20695747971584214
2139.38065	0.06361560914213814	2139.38065	0.09490097490602808	2131.53	0.1737467110916433	2131.53	0.20436052956321415
2139.41079	0.06034532776040357	2139.41079	0.0898501102986787	2131.55	0.1728038163406496	2131.55	0.20272790069027907
