Wavenumber	Absorbance
2136.60834	0.006481490940298991
2136.63848	0.006681209558564424
2136.66861	0.0068859282701881006
2136.69874	0.007100646981811773
2136.72888	0.007320365600077192
2136.75901	0.007560084311700868
2136.78915	0.007819802929966292
2136.81928	0.00809952164158996
2136.84941	0.008404240353213632
2136.87955	0.008728958971479059
2136.90968	0.009063677683102726
2136.93982	0.009418396301368155
2136.96995	0.009788115012991823
2137.00008	0.010177833724615497
2137.03022	0.010592552342880923
2137.06035	0.011032271054504598
2137.09048	0.011501989766128269
2137.12062	0.01200170838439369
2137.15075	0.012541427096017362
2137.18089	0.01314614571428279
2137.21102	0.013850864425906453
2137.24115	0.014705583137530127
2137.27129	0.015755301755795557
2137.30142	0.01704002046741923
2137.33156	0.018584739085684657
2137.36169	0.020404457797308324
2137.39182	0.02249417650893199
2137.42196	0.024863895127197423
2137.45209	0.027523613838821084
2137.48222	0.03050833255044476
2137.51236	0.03386805116871019
2137.54249	0.03766776988033386
2137.57263	0.04198248849859928
2137.60276	0.04690220721022295
2137.63289	0.05250692592184662
2137.66303	0.058886644540112054
2137.69316	0.06614136325173572
2137.72329	0.07437608196335939
2137.75343	0.08368580058162482
2137.78356	0.09417051929324849
2137.8137	0.10590023791151393
2137.84383	0.1189249566231376
2137.87396	0.13323467533476124
2137.9041	0.14876939395302669
2137.93423	0.16539411266465037
2137.96437	0.18289383128291578
2137.9945	0.20096354999453947
2138.02463	0.2192332687061631
2138.05477	0.23725798732442854
2138.0849	0.2545677060360522
2138.11503	0.2706974247476759
2138.14517	0.28522714336594135
2138.1753	0.297836862077565
2138.20544	0.3083265806958304
2138.23557	0.3166062994074541
2138.2657	0.3226860181190777
2138.29584	0.32665073673734313
2138.32597	0.32861045544896683
2138.35611	0.3287001740672323
2138.38624	0.32704489277885596
2138.41637	0.32378461149047966
2138.44651	0.31905933010874504
2138.47664	0.31301404882036876
2138.50677	0.3058037675319924
2138.53691	0.2975684861502578
2138.56704	0.28844320486188146
2138.59718	0.27855292348014693
2138.62731	0.2680176421917706
2138.65744	0.25697236090339426
2138.68758	0.24554707952165966
2138.71771	0.23388679823328334
2138.74784	0.222141516944907
2138.77798	0.21045623556317244
2138.80811	0.19895095427479612
2138.83825	0.18773067289306153
2138.86838	0.1768703916046852
2138.89851	0.16642511031630888
2138.92865	0.1564298289345743
2138.95878	0.14690454764619798
2138.98892	0.13788426626446343
2139.01905	0.12938398497608708
2139.04918	0.12143370368771074
2139.07932	0.11403342230597618
2139.10945	0.10717814101759984
2139.13958	0.1008378597292235
2139.16972	0.09496257834748895
2139.19985	0.08949729705911261
2139.22999	0.08439201567737804
2139.26012	0.07961673438900171
2139.29025	0.07515645310062538
2139.32039	0.07100117171889081
2139.35052	0.06716089043051447
2139.38065	0.06361560914213814
2139.41079	0.06034532776040357
2139.44092	0.057320046472027236
2139.47106	0.054499765090292675
2139.50119	0.05184948380191634
2139.53132	0.04935420251354
2139.56146	0.04698892113180544
2139.59159	0.0447636398434291
2139.62173	0.04267835846169453
2139.65186	0.0407280771733182
2139.68199	0.038902795884941874
2139.71213	0.0371975145032073
2139.74226	0.03559223321483097
2139.77239	0.03408195192645464
2139.80253	0.032661670544720064
2139.83266	0.031321389256343736
2139.8628	0.030061107874609166
2139.89293	0.028885826586232836
2139.92306	0.027775545297856502
2139.9532	0.026730263916121932
2139.98333	0.025744982627745598
2140.01347	0.024809701246011027
2140.0436	0.0239294199576347
2140.07373	0.023104138669258367
2140.10387	0.022338857287523793
2140.134	0.021623575999147465
2140.16413	0.020968294710771135
2140.19427	0.020353013329036558
2140.2244	0.019772732040660233
2140.25454	0.019227450658925664
2140.28467	0.018702169370549332
2140.3148	0.018206888082172995
2140.34494	0.01774160670043843
2140.37507	0.0173163254120621
2140.4052	0.016931044123685762
2140.43534	0.016590762741951197
2140.46547	0.016285481453574863
2140.49561	0.016010200071840293
2140.52574	0.015749918783463962
2140.55587	0.015489637495087631
2140.58601	0.015224356113353057
2140.61614	0.014959074824976729
2140.64628	0.014703793443242165
2140.67641	0.014468512154865824
2140.70654	0.014273230866489496
2140.73668	0.014107949484754925
2140.76681	0.013977668196378593
2140.79694	0.013872386908002257
2140.82708	0.013777105526267694
2140.85721	0.013676824237891357
2140.88735	0.01357154285615679
2140.91748	0.013466261567780462
2140.94761	0.013370980279404122
2140.97775	0.013290698897669553
2141.00788	0.013230417609293228
2141.03801	0.01318513632091689
2141.06815	0.013149854939182318
2141.09828	0.01311457365080599
2141.12842	0.013074292269071426
2141.15855	0.013024010980695083
