# Wavenumber / cm-1 	 Absorbance / OD
1.943326860000000352e+03	8.379500117309535145e-04
1.943356990000000451e+03	8.620746513734248162e-04
1.943387130000000298e+03	8.811990004880809746e-04
1.943417260000000397e+03	8.853236401305461523e-04
1.943447400000000243e+03	8.694479892451950631e-04
1.943477530000000343e+03	8.385726288876599321e-04
1.943507660000000442e+03	7.976972685301356170e-04
1.943537800000000288e+03	7.668216176447764654e-04
1.943567930000000388e+03	7.559462572872543973e-04
1.943598060000000260e+03	7.700708969297365147e-04
1.943628200000000334e+03	7.991952460443679795e-04
1.943658330000000433e+03	8.383198856868473436e-04
1.943688470000000279e+03	8.724442348014907478e-04
1.943718600000000379e+03	8.915688744439639879e-04
1.943748730000000251e+03	8.906935140864449818e-04
1.943778870000000325e+03	8.748178632010800149e-04
1.943809000000000424e+03	8.539425028435548848e-04
1.943839130000000296e+03	8.330671424860297547e-04
1.943869270000000370e+03	8.221914916006697882e-04
1.943899400000000469e+03	8.213161312431369043e-04
1.943929540000000316e+03	8.354404803577880623e-04
1.943959670000000415e+03	8.495651200002632408e-04
1.943989800000000287e+03	8.686897596427364809e-04
1.944019940000000361e+03	8.878141087573787615e-04
1.944050070000000460e+03	9.019387483998470012e-04
1.944080210000000307e+03	9.110630975144931587e-04
1.944110340000000406e+03	9.101877371569602748e-04
1.944140470000000278e+03	9.093123767994412687e-04
1.944170610000000352e+03	8.934367259140832407e-04
1.944200740000000451e+03	8.775613655565561722e-04
1.944230870000000323e+03	8.516860051990329805e-04
1.944261010000000397e+03	8.308103543136699520e-04
1.944291140000000269e+03	8.149349939561498224e-04
1.944321280000000343e+03	8.090593430707948563e-04
1.944351410000000442e+03	8.081839827132619725e-04
1.944381540000000314e+03	8.123086223557410279e-04
1.944411680000000388e+03	8.214329714703802465e-04
1.944441810000000260e+03	8.305576111128573635e-04
1.944471950000000334e+03	8.396819602274965821e-04
1.944502080000000433e+03	8.438065998699686987e-04
1.944532210000000305e+03	8.479312395124546931e-04
1.944562350000000379e+03	8.520555886270889112e-04
1.944592480000000251e+03	8.561802282695679667e-04
1.944622610000000350e+03	8.603048679120331443e-04
1.944652750000000424e+03	8.494292170266801167e-04
1.944682880000000296e+03	8.335538566691599871e-04
1.944713020000000370e+03	8.076782057837988971e-04
1.944743150000000469e+03	7.768028454262707050e-04
1.944773280000000341e+03	7.459274850687425129e-04
1.944803420000000415e+03	7.250518341833864233e-04
1.944833550000000287e+03	7.191764738258624168e-04
1.944863680000000386e+03	7.333011134683375953e-04
