# Wavenumber / cm-1 	 Absorbance / OD
1.941217490000000453e+03	3.236435412220517449e-04
1.941247630000000299e+03	2.883587160454059717e-04
1.941277760000000399e+03	2.480739853694680086e-04
1.941307890000000270e+03	2.077892546935161677e-04
1.941338030000000344e+03	1.875044295168576403e-04
1.941368160000000444e+03	1.872196988409180474e-04
1.941398300000000290e+03	2.119348736642490127e-04
1.941428430000000390e+03	2.466501429883166674e-04
1.941458560000000261e+03	2.813654123123704442e-04
1.941488700000000335e+03	3.060805871357014096e-04
1.941518830000000435e+03	3.257958564597679407e-04
1.941548960000000307e+03	3.355111257838244709e-04
1.941579100000000381e+03	3.352263006071581897e-04
1.941609230000000252e+03	3.299415699312135963e-04
1.941639370000000326e+03	3.146567447545600693e-04
1.941669500000000426e+03	2.993720140786193529e-04
1.941699630000000298e+03	2.790872834026736360e-04
1.941729770000000372e+03	2.588024582260151085e-04
1.941759900000000243e+03	2.485177275500655147e-04
1.941790040000000317e+03	2.432329023734219886e-04
1.941820170000000417e+03	2.429481716974823957e-04
1.941850300000000288e+03	2.476634410215200477e-04
1.941880440000000362e+03	2.573786158448637673e-04
1.941910570000000462e+03	2.670938851689341753e-04
1.941940700000000334e+03	2.718091544929857051e-04
1.941970840000000408e+03	2.815243293163294247e-04
1.942000970000000279e+03	2.862395986403809545e-04
