w	dA_mOD
2148.01	-0.03644
2148.08	-0.02243
2148.27	-0.06572
2148.35	-0.08685
2148.44	-0.10117
2148.51	-0.10385
2148.77	-0.06028
2148.86	-0.08392
2148.94	-0.10814
2149.02	-0.12633
2149.28	-0.08807
2149.37	-0.05216
2149.45	-0.01815
2149.52	0.00891
2149.79	0.02305
2149.87	0.02924
2149.95	0.03169
2150.02	0.02153
2150.21	-0.02477
2150.29	0.00457
2150.38	0.06017
2150.45	0.09533
2150.53	0.10332
2150.71	0.00602
2150.8	-0.02464
2150.88	-0.03563
2150.96	-0.04037
2151.22	-0.02721
2151.31	-0.03657
2151.39	-0.04915
2151.46	-0.0599
2151.73	-0.03317
2151.81	-0.01189
2151.89	0.01125
2151.97	0.03584
2152.24	0.07971
2152.32	0.08702
2152.4	0.08578
2152.47	0.06878
2152.66	0.0014
2152.74	0.02632
2152.83	0.07303
2152.91	0.10163
2152.98	0.10309
2153.16	0.02912
2153.25	0.00775
2153.33	0.00414
2153.41	0.01382
2153.67	0.13686
2153.76	0.12729
2153.84	0.10534
2153.92	0.07351
2154.18	-0.03163
2154.27	-0.02322
2154.35	-0.01864
2154.42	-0.02568
2154.69	-0.06507
2154.78	-0.01597
2154.86	0.02283
2154.93	0.04104
2155.2	0.0185
2155.28	0.05102
2155.36	0.08365
2155.43	0.1018
2155.71	0.03592
2155.79	0.04418
2155.87	0.06023
2156.22	0.08861
2156.3	0.10305
2156.38	0.1192
2156.73	0.08343
2156.81	0.04452
2156.88	0.01325
2157.24	0.03636
2157.32	0.04096
2157.39	0.04962
2157.75	0.3862
2157.82	0.36824
2157.9	0.33814
2158.26	0.09729
2158.33	0.10259
2158.76	0.4249
2158.84	0.38399
2159.27	-2.8991E-4
2159.35	-0.00835
2159.78	0.25955
2159.86	0.22903
2160.29	0.18433
2160.36	0.18539
2160.8	0.48117
2161.31	0.40536
2161.82	-0.55196
2162.33	-0.13463
2162.84	0.02904
